,CityName,Data_Value,PopulationCount,GeoLocation,CityFIPS
590068,Vista,25.8,"93,834","(33.1895481978, -117.238607217)",682996.0
590517,Whittier,24.9,"85,331","(33.9678255596, -118.018796341)",685292.0
593953,Colorado Springs,23.3,"416,427","(38.8672748077, -104.760664479)",816000.0
594906,Boulder,16.8,"97,385","(40.0275510494, -105.25151776)",807850.0
596674,Arvada,21.1,"106,433","(39.8308263293, -105.146327974)",803455.0
599297,Denver,21.4,"600,158","(39.7620283743, -104.876365322)",820000.0
599403,Thornton,27.4,"118,772","(39.9193994188, -104.944956758)",877290.0
599623,Norwalk,23.1,"85,603","(41.1175631682, -73.4224513123)",955990.0
600063,Lakeland,36.2,"97,422","(28.0558482664, -81.9539536462)",1238250.0
601538,Fort Collins,22.8,"143,986","(40.5487758924, -105.065904872)",827425.0
601599,New Haven,36.4,"129,779","(41.3113869392, -72.9247595793)",952000.0
603056,Danbury,23.4,"80,893","(41.4015898606, -73.470938682)",918430.0
604793,Waterbury,36.1,"110,366","(41.5582443266, -73.036129832)",980000.0
605110,Longmont,17.9,"86,270","(40.1695164708, -105.10195106)",845970.0
605659,Pueblo,32.0,"106,595","(38.2733957251, -104.612001218)",862000.0
606119,Bridgeport,29.9,"144,229","(41.1928054233, -73.196054694)",908000.0
606611,Westminster,24.0,"106,114","(39.8838511475, -105.062645316)",883835.0
608751,Loveland,22.8,"66,859","(40.4165693758, -105.061758435)",846465.0
610362,Hartford,38.2,"124,775","(41.7660706419, -72.6834012389)",937000.0
610998,Stamford,22.5,"122,643","(41.1049145013, -73.5589363142)",973000.0
611722,Lakewood,21.9,"142,980","(39.6976734462, -105.116965444)",843000.0
612767,Greeley,32.6,"92,889","(40.4141369521, -104.771170982)",832155.0
614088,New Britain,33.0,"73,206","(41.675922654, -72.7861630705)",950370.0
616719,Washington,26.7,"601,723","(38.9099241426, -77.0147205666)",1150000.0
617234,Clearwater,29.4,"107,685","(27.9805997919, -82.7544099135)",1212875.0
618278,Boca Raton,21.8,"84,392","(26.3749012715, -80.1078208861)",1207300.0
619130,Hollywood,26.6,"140,768","(26.0287025703, -80.1683976059)",1232000.0
619239,Wilmington,39.6,"70,851","(39.7412748227, -75.5418960925)",1077580.0
622199,Hialeah,34.2,"224,669","(25.869626948, -80.3045294666)",1230000.0
623516,Davie,23.6,"91,992","(26.0789340778, -80.2869750311)",1216475.0
623686,Boynton Beach,27.4,"68,217","(26.5279818052, -80.0814660417)",1207875.0
624168,Deerfield Beach,27.5,"75,018","(26.3049966413, -80.1277706584)",1216725.0
627483,Cape Coral,27.5,"154,305","(26.6448544993, -81.9931108298)",1210275.0
628121,Deltona,33.1,"85,182","(28.905060048, -81.2134269839)",1217200.0
628457,Coral Springs,24.1,"121,096","(26.2701700158, -80.2592221493)",1214400.0
630438,Gainesville,33.6,"124,354","(29.6817027431, -82.345278266)",1225175.0
630539,Fort Lauderdale,27.1,"165,521","(26.1418205174, -80.1471225502)",1224000.0
635155,Miami Beach,27.3,"87,779","(25.8167101614, -80.1341952652)",1245025.0
635289,Miami Gardens,37.8,"107,167","(25.9432633871, -80.2425332162)",1245060.0
637195,Miramar,27.5,"122,041","(25.9773288233, -80.3357316003)",1245975.0
643121,Orlando,30.5,"238,300","(28.4800646771, -81.3452411179)",1253000.0
643358,Miami,33.4,"399,457","(25.782295897, -80.2215647762)",1245000.0
643372,Melbourne,31.1,"76,068","(28.1158805782, -80.6508814613)",1243975.0
645192,Jacksonville,32.7,"821,784","(30.3319820139, -81.6752266207)",1235000.0
645891,Largo,29.1,"77,648","(27.9090907734, -82.7714203383)",1239425.0
646208,Palm Coast,29.1,"75,180","(29.5405590976, -81.2508206143)",1254200.0
647072,Palm Bay,32.5,"103,190","(27.9838255249, -80.6666722846)",1254000.0
652000,Albany,41.9,"77,434","(31.5776036766, -84.1763240815)",1301052.0
654279,St. Petersburg,29.7,"244,769","(27.792894971, -82.6650743239)",1263000.0
654608,Port St. Lucie,31.3,"164,603","(27.2808680308, -80.3832154574)",1258715.0
654940,Atlanta,31.1,"420,003","(33.7626524683, -84.4231419055)",1304000.0
655269,Sunrise,27.0,"84,439","(26.1546878303, -80.299841102)",1269700.0
656175,Athens,33.5,"115,452","(33.9508170683, -83.3689417445)",1303440.0
659572,Tampa,31.2,"335,709","(27.996198041, -82.4450349799)",1271000.0
661449,Plantation,23.6,"84,955","(26.1259853923, -80.2616762465)",1257425.0
662611,Pembroke Pines,24.7,"154,750","(26.0127387534, -80.3384522664)",1255775.0
663615,West Palm Beach,27.9,"99,919","(26.7478714655, -80.1337397544)",1276600.0
664404,Tallahassee,33.6,"181,376","(30.4548951211, -84.2526459938)",1270600.0
664518,Sandy Springs,24.1,"93,853","(33.9366669867, -84.3703197084)",1368516.0
666955,Augusta,38.5,"195,844","(33.3644561527, -82.0708396775)",1304204.0
668298,Macon,42.2,"91,351","(32.8320417692, -83.6495823768)",1349000.0
669873,Meridian,27.2,"75,092","(43.6185195383, -116.39758487)",1652120.0
671530,Amarillo,35.4,"190,695","(35.2003835544, -101.828292514)",4803000.0
674184,Memphis,38.9,"646,889","(35.1046295042, -89.978906085)",4748000.0
675263,Arlington,34.2,"365,438","(32.699836862, -97.125089612)",4804000.0
676529,Carrollton,29.2,"119,097","(32.988438459, -96.900137433)",4813024.0
677326,Beaumont,39.0,"118,296","(30.084416647, -94.1441072222)",4807000.0
678238,Corpus Christi,34.9,"305,215","(27.7291588337, -97.4019095379)",4817000.0
682897,College Station,29.2,"93,857","(30.5867615801, -96.2957958614)",4815976.0
684006,Austin,26.5,"790,390","(30.3068610342, -97.7554771245)",4805000.0
686334,Bryan,34.7,"76,201","(30.6665687582, -96.3663819223)",4810912.0
688253,Baytown,34.8,"71,802","(29.7571153043, -94.9676276217)",4806128.0
690565,Brownsville,41.5,"175,023","(25.9981977861, -97.4566343763)",4810768.0
697780,Fort Worth,36.0,"741,206","(32.780192804, -97.3470323225)",4827000.0
698215,Denton,33.1,"113,383","(33.2156160443, -97.1412438684)",4819972.0
698348,Dallas,35.2,"1,197,816","(32.7939804066, -96.7656929463)",4819000.0
698369,Edinburg,43.0,"77,100","(26.3155843974, -98.1637130371)",4822660.0
705140,El Paso,35.7,"649,121","(31.8481123506, -106.432021874)",4824000.0
707145,Frisco,26.7,"116,989","(33.1507545152, -96.8201336312)",4827684.0
712297,Garland,32.0,"226,876","(32.9100799867, -96.6304258603)",4829000.0
715407,Houston,34.4,"2,099,451","(29.7806691396, -95.3860033966)",4835000.0
717593,Pasadena,34.4,"149,043","(29.6589511488, -95.1509173148)",4856000.0
723537,Grand Prairie,32.9,"175,396","(32.6867650238, -97.0209311916)",4830464.0
725969,Midland,33.2,"111,147","(32.0285948356, -102.109700973)",4848072.0
726531,Irving,30.5,"216,290","(32.8583808131, -96.9703058323)",4837000.0
727250,Mission,41.9,"77,058","(26.2033406464, -98.322770513)",4848768.0
729883,Killeen,38.6,"127,921","(31.0757648143, -97.7285651299)",4839148.0
731521,McAllen,41.8,"129,877","(26.2186289942, -98.2451704536)",4845384.0
732604,Odessa,35.8,"99,940","(31.879456461, -102.344465435)",4853388.0
732617,Missouri City,30.2,"67,358","(29.563674661, -95.5382066661)",4848804.0
733071,Mesquite,33.6,"139,824","(32.7641310166, -96.5927445114)",4847892.0
733285,Laredo,42.8,"236,091","(27.5482572475, -99.4867797312)",4841464.0
735805,League City,30.4,"83,560","(29.4872995808, -95.1089858945)",4841980.0
737396,Longview,36.8,"80,455","(32.5192857856, -94.762197598)",4843888.0
739290,Lubbock,35.6,"229,573","(33.5666251178, -101.886335663)",4845000.0
739702,McKinney,30.1,"131,117","(33.1988886952, -96.6677029773)",4845744.0
740511,Lewisville,31.5,"95,290","(33.0451992429, -96.9829273031)",4842508.0
740892,Pearland,29.1,"91,252","(29.5584850577, -95.3208389111)",4856348.0
744175,Plano,26.7,"259,841","(33.0502149278, -96.7486409797)",4858016.0
747509,San Angelo,35.9,"93,200","(31.440468746, -100.452243142)",4864472.0
749276,San Antonio,35.0,"1,327,407","(29.4721475333, -98.5246763525)",4865000.0
754090,Richardson,26.5,"99,223","(32.9716582389, -96.7093052991)",4861796.0
754136,Sugar Land,22.6,"78,817","(29.5974680902, -95.627455775)",4870808.0
754566,Pharr,45.3,"70,400","(26.168815399, -98.1904720704)",4857200.0
756717,Waco,39.5,"124,805","(31.5597607137, -97.1883333282)",4876000.0
758670,Round Rock,29.9,"99,887","(30.5239578235, -97.6669801882)",4863500.0
759361,Provo,28.9,"112,488","(40.2457185288, -111.645715857)",4962470.0
759635,Wichita Falls,39.3,"104,553","(33.9072739838, -98.5292981697)",4879000.0
762021,Orem,27.4,"88,328","(40.2987127625, -111.699188517)",4957300.0
765064,Lynchburg,37.6,"75,568","(37.4004163016, -79.1911081)",5147672.0
765244,West Jordan,26.5,"103,712","(40.6022598635, -112.000961848)",4982950.0
765301,St. George,26.4,"72,897","(37.0787444634, -113.579352503)",4965330.0
769171,Burlington,27.2,"42,417","(44.4876245694, -73.2314828365)",5010675.0
769862,Ogden,35.1,"82,825","(41.2281567535, -111.967450557)",4955980.0
770007,Chesapeake,35.0,"222,209","(36.6777521118, -76.3024325925)",5116000.0
770253,Layton,27.6,"67,311","(41.077181614, -111.961589302)",4943660.0
770580,Alexandria,27.3,"139,966","(38.8187351557, -77.0867762661)",5101000.0
771654,Norfolk,35.9,"242,803","(36.8932863006, -76.2567157761)",5157000.0
771736,Salt Lake City,27.3,"186,440","(40.7778489465, -111.931220784)",4967000.0
772845,Portsmouth,39.5,"95,535","(36.8451450228, -76.3552763467)",5164000.0
773598,Sandy,24.5,"87,461","(40.5702254423, -111.852431062)",4967440.0
775057,Hampton,39.1,"137,436","(37.0533009025, -76.3665945624)",5135000.0
775405,Newport News,35.8,"180,719","(37.1051141309, -76.5182644502)",5156000.0
775723,Kennewick,33.7,"73,917","(46.198438428, -119.173245847)",5335275.0
776671,Everett,31.7,"103,019","(47.9497966189, -122.160703911)",5322640.0
777140,Bellevue,17.9,"122,363","(47.5962437606, -122.153569982)",5305210.0
779436,Suffolk,33.6,"84,585","(36.6930367981, -76.6414278469)",5176432.0
781387,Virginia Beach,28.4,"437,994","(36.7534593339, -76.0589579522)",5182000.0
782113,Renton,22.0,"90,927","(47.4760546752, -122.191153327)",5357745.0
784164,Bellingham,31.6,"80,885","(48.7535370315, -122.468092906)",5305280.0
784360,Federal Way,24.2,"89,306","(47.3090846316, -122.335755583)",5323515.0
787115,Kent,25.1,"92,411","(47.3849636272, -122.217890194)",5335415.0
789486,Seattle,21.1,"608,660","(47.622154338, -122.323532482)",5363000.0
789807,Roanoke,36.5,"97,032","(37.2782181855, -79.9581615989)",5168000.0
790157,Auburn,25.3,"70,180","(47.3038544325, -122.210810557)",5303180.0
791644,Richmond,35.8,"204,214","(37.5293933083, -77.475568168)",5167000.0
792169,Spokane Valley,29.1,"89,755","(47.662556574, -117.234571922)",5367167.0
794096,Vancouver,34.0,"161,791","(45.6357172365, -122.598539476)",5374060.0
794784,Kenosha,33.3,"99,218","(42.585570271, -87.8735745085)",5539225.0
794876,Charleston,38.8,"51,400","(38.3484079736, -81.632165003)",5414600.0
796626,Spokane,30.1,"208,916","(47.6736243259, -117.415973291)",5367000.0
804089,Madison,27.5,"233,209","(43.0809865694, -89.3915106344)",5548000.0
804719,Milwaukee,36.2,"594,833","(43.0641258925, -87.9672412429)",5553000.0
805269,Tacoma,31.1,"198,397","(47.2425411445, -122.45447391)",5370000.0
805984,Appleton,32.0,"72,623","(44.2776987457, -88.3897664444)",5502375.0
805998,Yakima,37.7,"91,067","(46.5925792092, -120.547807614)",5380010.0
807011,Green Bay,35.3,"104,057","(44.5149847816, -87.9896195955)",5531000.0
808808,Racine,40.2,"78,860","(42.7274599494, -87.813453024)",5566000.0
809259,Waukesha,31.5,"70,718","(43.0093332215, -88.2457679157)",5584250.0
809912,Cheyenne,29.4,"59,466","(41.1460804265, -104.789064332)",5613900.0
